,Unnamed: 0,global_id,created_at,updated_at,external_id,deleted_at,name,certificate_number,address1,address2,city,state_code,postal_code,country_code,phone,type,code,is_live,expired_at,suspended,Full_Address,main-address,Lat,Lon
301,1328,WAWA1.MM10X,1/1/1900 00:00,1/5/2021 18:06,1832,,KARMA CANNABIS,603553753,131 RIVER RD   STE A,,SEQUIM,WA,983829804,US,3604606641,dispensary,R421168,True,10/30/2021 17:00,False,131 RIVER RD   STE A SEQUIM,"131, River Road, Sequim, Clallam County, Washington, 98382, United States",48.0771898,-123.1347379
308,1337,WAWA1.MM116,1/1/1900 00:00,1/5/2021 18:06,1838,,NORTHWEST CANNABIS CONNECTION,603228404,11522 CANYON RD E,,PUYALLUP,WA,983734360,US,2532920444,dispensary,R423492,True,8/30/2021 17:00,False,11522 CANYON RD E PUYALLUP,,47.18538,-122.2929
323,1358,WAWA1.MM11R,1/1/1900 00:00,1/5/2021 18:06,1861,,THE JOINT,603302553,14325 1ST AVE S STE 101,STE B.,BURIEN,WA,981683418,US,2062255555,dispensary,R420389,True,5/30/2021 17:00,False,14325 1ST AVE S STE 101 BURIEN,"14325, 1st Avenue South, Highline, Burien, King County, Washington, 98168, United States",47.4743406,-122.3342052
324,1359,WAWA1.MM11S,1/1/1900 00:00,1/5/2021 18:06,1862,,KITSAP CANNABIS 2,603560955,1762 VILLAGE LN SE,,PORT ORCHARD,WA,983662644,US,3608658092,dispensary,R421359,True,11/29/2021 16:00,False,1762 VILLAGE LN SE PORT ORCHARD,"The Orchard, Briardale Road, Willaston Mills, Ellesmere Port, Willaston, Cheshire West and Chester, North West England, England, CH64 1TD, United Kingdom",53.2948696,-3.003175786
326,1363,WAWA1.MM11W,1/1/1900 00:00,1/5/2021 18:06,1870,,MARLEY 420,603064439,16204 SE 272ND ST  STE 1,STE 1,COVINGTON,WA,980428213,US,2067147733,dispensary,R420889,True,2/27/2022 16:00,False,16204 SE 272ND ST  STE 1 COVINGTON,"Marley 420, 16204, Southeast 272nd Street, Covington, King County, Washington, 98042, United States",47.3584731,-122.1254869
328,1365,WAWA1.MM11Y,1/1/1900 00:00,1/5/2021 18:06,1881,,EVERGREEN MARKET - SOUTH RENTON,604005932,4242 E VALLEY RD,,RENTON,WA,980574903,US,4253188898,dispensary,R424747,True,6/29/2021 17:00,False,4242 E VALLEY RD RENTON,"4242, East Valley Road, Renton, King County, Washington, 98057, United States",47.4414053,-122.2187783
329,1366,WAWA1.MM11Z,1/1/1900 00:00,1/5/2021 18:06,1882,,420 CAPITOL,603534069,5980 CAPITOL BLVD SE,,TUMWATER,WA,985015274,US,3604026368,dispensary,R424848,True,8/30/2021 17:00,False,5980 CAPITOL BLVD SE TUMWATER,"Capitol and Tumwater Blvd [nb], Capitol Boulevard South, Tumwater, Thurston County, Washington, 98501-5414, United States",46.984818,-122.906647
342,1389,WAWA1.MM12M,1/1/1900 00:00,1/5/2021 18:06,1921,,"CRAFT CANNABIS, INC.",604532590,2616 NE 112TH AVE,,VANCOUVER,WA,986844284,US,5033417097,dispensary,R427458,True,7/30/2021 17:00,False,2616 NE 112TH AVE VANCOUVER,"Northeast 112th Avenue, Kevanna Park, Vancouver, Clark County, Washington, 98683-5227, United States",45.6407613,-122.5579592
346,1397,WAWA1.MM12U,1/1/1900 00:00,1/5/2021 18:06,1933,,APEX CANNABIS,603326417,21502 E GILBERT RD,,OTIS ORCHARDS,WA,990279241,US,5094990646,dispensary,R422447,True,8/30/2021 17:00,False,21502 E GILBERT RD OTIS ORCHARDS,,47.70595169,-117.1226654
347,1398,WAWA1.MM12V,1/1/1900 00:00,1/5/2021 18:06,1933,,APEX CANNABIS,603326417,955 W BROADWAY AVE,,MOSES LAKE,WA,988370000,US,5094990646,dispensary,R421110,True,8/30/2021 17:00,False,955 W BROADWAY AVE MOSES LAKE,"955, West Broadway Avenue, Moses Lake, Grant County, Washington, 98837, United States",47.12597139,-119.288865
356,1419,WAWA1.MM13G,1/1/1900 00:00,1/5/2021 18:06,1967,,MOUNT VERNON CANNABIS,603558449,17929 STATE ROUTE 536,STE B,MOUNT VERNON,WA,982733216,US,3608994428,dispensary,R422796,True,11/29/2021 16:00,False,17929 STATE ROUTE 536 MOUNT VERNON,"Memorial Highway, Mount Vernon, Skagit County, Washington, 29273, United States",48.4296349,-122.365633
360,1425,WAWA1.MM13M,1/1/1900 00:00,1/5/2021 18:06,1973,,MAIN STREET MARIJUANA EAST,603571920,16219 SE 12TH ST STE 104,,VANCOUVER,WA,986838905,US,3606063260,dispensary,R421805,True,12/30/2021 16:00,False,16219 SE 12TH ST STE 104 VANCOUVER,"16219, Southeast 12th Street, Cascade Park East, Cascade Highlands, Vancouver, Clark County, Washington, 98683, United States",45.611989,-122.5060205
361,1428,WAWA1.MM13P,1/1/1900 00:00,1/5/2021 18:06,1977,,PRC,604586837,23221 EDMONDS WAY STE A,STE A,EDMONDS,WA,980260000,US,4253432272,dispensary,R415198,True,3/30/2021 17:00,False,23221 EDMONDS WAY STE A EDMONDS,"23221, Edmonds Way, Firdale, Edmonds, Snohomish County, Washington, 98026, United States",47.78814235,-122.3538762
399,1518,WAWA1.MM167,1/1/1900 00:00,7/12/2019 18:33,2098,,THE HAPPY CROP SHOPPE                        ,603422953,1210 N WENATCHEE AVE STE J    ,,WENATCHEE               ,WA,988071175,US,5096696835,dispensary,R420934,True,7/30/2019 17:00,False,1210 N WENATCHEE AVE STE J     WENATCHEE               ,,47.4363528,-120.3211294
419,1566,WAWA1.MM17J,1/1/1900 00:00,1/5/2021 18:06,2176,,HWY 420,602762982,11493 CLEAR CREEK RD,,SILVERDALE,WA,983839657,US,3604408671,dispensary,R413427,True,9/29/2021 17:00,False,11493 CLEAR CREEK RD SILVERDALE,,47.64454,-122.69487
429,1594,WAWA1.MM18B,1/1/1900 00:00,1/5/2021 18:06,2211,,NIRVANA CANNABIS COMPANY,603359191,4950 ARENA RD,,RICHLAND,WA,993527857,US,5098082391,dispensary,R424951,True,12/30/2021 16:00,False,4950 ARENA RD RICHLAND,"Arena Road, West Richland, Benton County, Washington, 99352, United States",46.2570089,-119.3384376
431,1602,WAWA1.MM18J,1/1/1900 00:00,1/5/2021 18:06,2224,,LOCAL ROOTS,604615081,1009 E YAKIMA AVE,,YAKIMA,WA,989012558,US,2063830943,dispensary,R422336,True,6/29/2021 17:00,False,1009 E YAKIMA AVE YAKIMA,"1009, East Yakima Avenue, Yakima, Yakima County, Washington, 98901, United States",46.60525192,-120.4906873
432,1609,WAWA1.MM18Q,1/1/1900 00:00,5/19/2020 20:15,2253,,KITSAP CANNABIS,603594581,2600 NW RANDALL WAY STE 103,SUITE 103,SILVERDALE,WA,983839427,US,3608658092,dispensary,R424117,True,3/30/2021 17:00,False,2600 NW RANDALL WAY STE 103 SILVERDALE,"2600, Northwest Randall Way, Silverdale, Kitsap County, Washington, 98383, United States",47.661376,-122.685156
446,1649,WAWA1.MM19U,1/1/1900 00:00,1/5/2021 18:06,2325,,UNCLE IKE'S,604598096,9822 15TH AVE SW STE B,SUITE B,SEATTLE,WA,981062850,US,2064203784,dispensary,R421514,True,4/29/2021 17:00,False,9822 15TH AVE SW STE B SEATTLE,"9822, 15th Avenue Southwest, Seattle, King County, Washington, 98106, United States",47.51492075,-122.3533408
466,1721,WAWA1.MM1BU,1/1/1900 00:00,1/5/2021 18:06,2474,,BLOOM,604344750,10707 PACIFIC AVE S SUITE D,,TACOMA,WA,984446098,US,0,dispensary,R414103,True,10/30/2021 17:00,False,10707 PACIFIC AVE S SUITE D TACOMA,"Tacoma Art Museum, 1701, Pacific Avenue, G Street Neighborhood, Tacoma, Pierce County, Washington, 98402, United States",47.2475134,-122.4368052
490,1802,WAWA1.MM1E3,1/1/1900 00:00,1/5/2021 18:06,2788,,THE SLOW BURN,603410267,1151 MARKET ST,,UNION GAP,WA,989030000,US,5094522787,dispensary,R414470,True,6/29/2021 17:00,False,1151 MARKET ST UNION GAP,"Market Street, Union Gap, Yakima County, Washington, 98903-1613, United States",46.5618924,-120.4796853
500,1854,WAWA1.MM1FJ,1/1/1900 00:00,1/5/2021 18:06,2929,,EMERALD COAST,603415754,939 N CALLOW AVE # 100-B,,BREMERTON,WA,983123806,US,3608131006,dispensary,R420416,True,6/29/2021 17:00,False,939 N CALLOW AVE # 100-B BREMERTON,"North Callow Avenue, Charleston, Bremerton, Kitsap County, Washington, 98337, United States",47.563882,-122.6532
513,1902,WAWA1.MM1GV,1/1/1900 00:00,1/5/2021 18:06,3346,,LIVING WELL ENTERPRISES,603339410,17730 AMBAUM BLVD S UNIT E,,BURIEN,WA,981481785,US,2068128092,dispensary,R420741,True,10/30/2021 17:00,False,17730 AMBAUM BLVD S UNIT E BURIEN,"Burien Center for Health & Wellbeing, Ambaum Boulevard Southwest, Five Corners, Burien, King County, Washington, 98148-1213, United States",47.4608588,-122.3359045
516,1907,WAWA1.MM1H0,1/1/1900 00:00,7/12/2019 18:33,3352,,THE VAULT CANNABIS                           ,603599034,9626 32ND ST SE               ,,LAKE STEVENS            ,WA,982582539,US,4252488559,dispensary,R414829,True,3/30/2020 17:00,False,9626 32ND ST SE                LAKE STEVENS            ,,48.0151,-122.06374
611,2029,WAWA1.MM1OE,1/30/2018 11:12,1/5/2021 18:06,wa add,,GREEN2GO,603303136,214307 E SR 397,,KENNEWICK,WA,993377198,USA,5095917100,dispensary,R410273,True,5/30/2021 17:00,False,214307 E SR 397 KENNEWICK,"East State Route 397, Kennewick, Benton County, Washington, 99337, United States",46.196591,-119.0858052
634,2299,WAWA1.MM1VW,3/12/2018 01:10,1/5/2021 18:06,wa add,,SLOW BURN,603410267,1300 N 40TH ST STE 111,,YAKIMA,WA,989080000,USA,5099692600,dispensary,R414508,True,6/29/2021 17:00,False,1300 N 40TH ST STE 111 YAKIMA,"North 40th Street, Terrace Heights, Yakima County, Washington, 98901, United States",46.6100723,-120.4472288
